date,daily_case
2020-03-18,7
2020-03-19,3
2020-03-20,9
2020-03-21,9
2020-03-22,14
2020-03-23,2
2020-03-24,3
2020-03-25,9
2020-03-26,13
2020-03-27,3
2020-03-28,14
2020-03-29,12
2020-03-30,7
2020-03-31,1
2020-04-01,9
2020-04-02,0
2020-04-03,47
2020-04-04,5
2020-04-05,35
2020-04-06,9
2020-04-07,5
2020-04-08,15
2020-04-09,36
2020-04-10,30
2020-04-11,15
2020-04-12,111
2020-04-13,52
2020-04-14,36
2020-04-15,25
2020-04-16,13
2020-04-17,10
2020-04-18,34
2020-04-19,43
2020-04-20,5
2020-04-21,10
2020-04-22,36
2020-04-23,27
2020-04-24,20
2020-04-25,75
2020-04-26,19
2020-04-27,12
2020-04-28,58
2020-04-29,20
2020-04-30,75
2020-05-01,83
2020-05-02,7
2020-05-03,77
2020-05-04,13
2020-05-05,41
2020-05-06,48
2020-05-07,34
2020-05-08,30
2020-05-09,158
2020-05-10,78
2020-05-11,54
2020-05-12,111
2020-05-13,141
2020-05-14,85
2020-05-15,57
2020-05-16,168
2020-05-17,57
2020-05-18,124
2020-05-19,84
2020-05-20,124
2020-05-21,431
2020-05-22,155
2020-05-23,465
2020-05-24,72
2020-05-25,200
2020-05-26,86
2020-05-27,166
2020-05-28,168
2020-05-29,132
2020-05-30,180
2020-05-31,232
2020-06-01,95
2020-06-02,171
2020-06-03,173
2020-06-04,107
2020-06-05,144
2020-06-06,84
2020-06-07,270
2020-06-08,319
2020-06-09,189
2020-06-10,275
2020-06-11,251
2020-06-12,245
2020-06-13,218
2020-06-14,194
2020-06-15,312
2020-06-16,204
2020-06-17,210
2020-06-18,319
2020-06-19,196
2020-06-20,300
2020-06-21,131
2020-06-22,329
2020-06-23,241
2020-06-24,183
2020-06-25,304
2020-06-26,361
2020-06-27,287
2020-06-28,236
2020-06-29,226
2020-06-30,394
2020-07-01,305
2020-07-02,342
2020-07-03,372
2020-07-04,384
2020-07-05,411
2020-07-06,280
2020-07-07,321
2020-07-08,393
2020-07-09,416
2020-07-10,295
2020-07-11,393
2020-07-12,388
2020-07-13,197
2020-07-14,278
2020-07-15,261
2020-07-16,191
2020-07-17,249
2020-07-18,257
2020-07-19,302
2020-07-20,287
2020-07-21,305
2020-07-22,359
2020-07-23,323
2020-07-24,563
2020-07-25,270
2020-07-26,302
2020-07-27,286
2020-07-28,273
2020-07-29,286
2020-07-30,315
2020-07-31,294
2020-08-01,581
2020-08-02,330
2020-08-03,321
2020-08-04,391
2020-08-05,414
2020-08-06,265
2020-08-07,365
2020-08-08,402
2020-08-09,367
2020-08-10,298
2020-08-11,288
2020-08-12,298
2020-08-13,327
2020-08-14,402
2020-08-15,416
2020-08-16,471
2020-08-17,313
2020-08-18,318
2020-08-19,338
2020-08-20,366
2020-08-21,451
2020-08-22,343
2020-08-23,282
2020-08-24,340
2020-08-25,364
2020-08-26,322
2020-08-27,362
2020-08-28,424
2020-08-29,615
2020-08-30,458
2020-08-31,315
2020-09-01,351
2020-09-02,359
2020-09-03,371
2020-09-04,330
2020-09-05,322
2020-09-06,305
2020-09-07,290
2020-09-08,425
2020-09-09,356
2020-09-10,370
2020-09-11,369
2020-09-12,364
2020-09-13,236
2020-09-14,358
2020-09-15,371
2020-09-16,358
2020-09-17,323
2020-09-18,488
2020-09-19,351
2020-09-20,350
2020-09-21,336
2020-09-22,336
2020-09-23,342
2020-09-24,359
2020-09-25,284
2020-09-26,269
2020-09-27,197
2020-09-28,280
2020-09-29,275
2020-09-30,531
2020-10-01,601
2020-10-02,269
2020-10-03,319
2020-10-04,238
2020-10-05,245
2020-10-06,275
2020-10-07,326
2020-10-08,343
2020-10-09,303
2020-10-10,310
2020-10-11,260
2020-10-12,297
2020-10-13,330
2020-10-14,300
2020-10-15,294
2020-10-16,286
2020-10-17,250
2020-10-18,236
2020-10-19,232
2020-10-20,295
2020-10-21,332
2020-10-22,272
2020-10-23,282
2020-10-24,292
2020-10-25,246
2020-10-26,288
2020-10-27,286
2020-10-28,232
2020-10-29,242
2020-10-30,218
2020-10-31,225
2020-11-01,627
2020-11-02,284
2020-11-03,261
2020-11-04,231
2020-11-05,270
2020-11-06,261
2020-11-07,269
2020-11-08,279
2020-11-09,243
2020-11-10,303
2020-11-11,185
2020-11-12,233
2020-11-13,224
2020-11-14,240
2020-11-15,189
2020-11-16,263
2020-11-17,317
2020-11-18,372
2020-11-19,408
2020-11-20,361
2020-11-21,354
2020-11-22,274
2020-11-23,341
2020-11-24,331
2020-11-25,378
2020-11-26,361
2020-11-27,375
2020-11-28,442
2020-11-29,393
2020-11-30,389
2020-12-01,419
2020-12-02,463
2020-12-03,531
2020-12-04,586
2020-12-05,540
2020-12-06,536
2020-12-07,572
2020-12-08,572
2020-12-09,670
2020-12-10,726
2020-12-11,812
2020-12-12,765
2020-12-13,709
2020-12-14,704
2020-12-15,705
2020-12-16,724
2020-12-17,832
2020-12-18,830
2020-12-19,736
2020-12-20,643
2020-12-21,803
2020-12-22,705
2020-12-23,812
2020-12-24,731
2020-12-25,734
2020-12-26,779
2020-12-27,675
2020-12-28,813
2020-12-29,766
2020-12-30,957
2020-12-31,1644
2021-01-01,862
2021-01-02,762
2021-01-03,571
2021-01-04,673
2021-01-05,673
2021-01-06,803
2021-01-07,879
2021-01-08,977
2021-01-09,1014
2021-01-10,947
2021-01-11,845
2021-01-12,832
2021-01-13,885
2021-01-14,1006
2021-01-15,1254
2021-01-16,1216
2021-01-17,906
2021-01-18,863
2021-01-19,946
2021-01-20,940
2021-01-21,1122
2021-01-22,1046
2021-01-23,935
2021-01-24,894
2021-01-25,890
2021-01-26,933
2021-01-27,1090
2021-01-28,1034
2021-01-29,997
2021-01-30,854
2021-01-31,850
2021-02-01,671
2021-02-02,808
2021-02-03,719
2021-02-04,595
2021-02-05,751
2021-02-06,694
2021-02-07,568
2021-02-08,664
2021-02-09,448
2021-02-10,605
2021-02-11,1049
2021-02-12,776
2021-02-13,558
2021-02-14,516
2021-02-15,430
2021-02-16,476
2021-02-17,578
2021-02-18,558
2021-02-19,574
2021-02-20,624
2021-02-21,447
2021-02-22,435
2021-02-23,548
2021-02-24,580
2021-02-25,554
2021-02-26,544
2021-02-27,446
2021-02-28,325
2021-03-01,339
2021-03-02,411
2021-03-03,430
2021-03-04,403
2021-03-05,406
2021-03-06,395
2021-03-07,328
2021-03-08,325
2021-03-09,393
2021-03-10,399
2021-03-11,341
2021-03-12,339
2021-03-13,348
2021-03-14,278
2021-03-15,257
2021-03-16,290
2021-03-17,321
2021-03-18,338
2021-03-19,305
2021-03-20,288
2021-03-21,291
2021-03-22,271
2021-03-23,239
2021-03-24,289
2021-03-25,348
2021-03-26,339
2021-03-27,275
2021-03-28,265
2021-03-29,251
2021-03-30,279
2021-03-31,301
2021-04-01,282
2021-04-02,274
2021-04-03,230
2021-04-04,220
2021-04-05,229
2021-04-06,293
2021-04-07,346
2021-04-08,298
2021-04-09,309
2021-04-10,277
2021-04-11,247
2021-04-12,250
2021-04-13,248
2021-04-14,262
2021-04-15,295
2021-04-16,290
2021-04-17,285
2021-04-18,239
2021-04-19,255
2021-04-20,257
2021-04-21,304
2021-04-22,290
2021-04-23,300
2021-04-24,258
2021-04-25,236
2021-04-26,246
2021-04-27,237
2021-04-28,297
2021-04-29,325
2021-04-30,317
2021-05-01,231
2021-05-02,206
2021-05-03,217
2021-05-04,290
2021-05-05,271
2021-05-06,255
2021-05-07,235
2021-05-08,224
2021-05-09,230
2021-05-10,205
2021-05-11,258
2021-05-12,248
2021-05-13,147
2021-05-14,142
2021-05-15,183
2021-05-16,163
2021-05-17,202
2021-05-18,227
2021-05-19,254
2021-05-20,260
2021-05-21,243
2021-05-22,233
2021-05-23,228
2021-05-24,227
2021-05-25,217
2021-05-26,256
2021-05-27,218
2021-05-28,246
2021-05-29,255
2021-05-30,217
2021-05-31,249
2021-06-01,225
2021-06-02,239
2021-06-03,260
2021-06-04,303
2021-06-05,244
2021-06-06,276
2021-06-07,301
2021-06-08,389
2021-06-09,405
2021-06-10,426
2021-06-11,441
2021-06-12,358
2021-06-13,422
2021-06-14,403
2021-06-15,500
2021-06-16,701
2021-06-17,721
2021-06-18,728
2021-06-19,692
2021-06-20,737
2021-06-21,719
2021-06-22,746
2021-06-23,873
2021-06-24,943
2021-06-25,973
2021-06-26,992
2021-06-27,889
2021-06-28,1083
2021-06-29,1065
2021-06-30,1200
2021-07-01,1420
2021-07-02,1387
2021-07-03,1439
2021-07-04,1468
2021-07-05,1540
2021-07-06,1806
2021-07-07,2545
2021-07-08,2549
2021-07-09,2534
2021-07-10,2237
2021-07-11,2421
2021-07-12,2738
2021-07-13,6268
2021-07-14,7090
2021-07-15,8230
2021-07-16,7831
2021-07-17,6920
2021-07-18,5706
2021-07-19,4419
2021-07-20,5653
2021-07-21,3862
2021-07-22,6624
2021-07-23,6909
2021-07-24,5700
2021-07-25,4764
2021-07-26,3158
2021-07-27,6339
2021-07-28,6419
2021-07-29,5504
2021-07-30,5204
2021-07-31,4696
2021-08-01,3675
2021-08-02,2489
2021-08-03,4113
2021-08-04,4030
2021-08-05,4074
2021-08-06,4489
2021-08-07,3439
2021-08-08,2537
2021-08-09,1965
2021-08-10,3618
2021-08-11,2885
2021-08-12,3162
2021-08-13,4178
2021-08-14,3231
2021-08-15,1725
2021-08-16,1559
2021-08-17,2343
2021-08-18,1500
2021-08-19,3017
2021-08-20,2508
2021-08-21,2122
2021-08-22,1301
2021-08-23,1073
2021-08-24,1700
2021-08-25,1619
2021-08-26,1354
2021-08-27,1409
2021-08-28,1079
2021-08-29,666
2021-08-30,640
2021-08-31,1323
2021-09-01,1122
2021-09-02,853
2021-09-03,770
2021-09-04,614
2021-09-05,448
2021-09-06,361
2021-09-07,674
2021-09-08,613
2021-09-09,508
2021-09-10,515
2021-09-11,547
2021-09-12,367
2021-09-13,318
2021-09-14,496
2021-09-15,436
2021-09-16,335
2021-09-17,427
2021-09-18,314
2021-09-19,234
2021-09-20,142
2021-09-21,319
2021-09-22,297
2021-09-23,220
2021-09-24,218
2021-09-25,215
2021-09-26,170
2021-09-27,93
2021-09-28,179
2021-09-29,225
2021-09-30,195
2021-10-01,124
2021-10-02,129
2021-10-03,115
2021-10-04,62
2021-10-05,139
2021-10-06,158
2021-10-07,121
2021-10-08,119
2021-10-09,117
2021-10-10,127
2021-10-11,48
2021-10-12,160
2021-10-13,121
2021-10-14,86
2021-10-15,81
2021-10-16,100
2021-10-17,60
2021-10-18,43
2021-10-19,95
2021-10-20,93
2021-10-21,64
2021-10-22,64
2021-10-23,74
2021-10-24,54
2021-10-25,34
2021-10-26,51
2021-10-27,90
2021-10-28,72
2021-10-29,54
2021-10-30,81
2021-10-31,57
2021-11-01,40
2021-11-02,74
2021-11-03,67
2021-11-04,59
2021-11-05,46
2021-11-06,47
2021-11-07,32
2021-11-08,30
2021-11-09,49
2021-11-10,65
2021-11-11,42
2021-11-12,33
2021-11-13,49
2021-11-14,30
2021-11-15,26
2021-11-16,35
2021-11-17,43
2021-11-18,24
2021-11-19,28
2021-11-20,30
2021-11-21,25
2021-11-22,21
2021-11-23,45
2021-11-24,36
2021-11-25,32
2021-11-26,48
2021-11-27,31
2021-11-28,33
2021-11-29,10
2021-11-30,36
2021-12-01,30
2021-12-02,36
2021-12-03,22
2021-12-04,27
2021-12-05,29
2021-12-06,18
2021-12-07,36
2021-12-08,27
2021-12-09,30
2021-12-10,20
2021-12-11,22
2021-12-12,22
2021-12-13,14
2021-12-14,27
2021-12-15,28
2021-12-16,25
2021-12-17,23
2021-12-18,20
2021-12-19,22
2021-12-20,15
2021-12-21,14
2021-12-22,9
2021-12-23,17
2021-12-24,25
2021-12-25,11
2021-12-26,5
2021-12-27,9
2021-12-28,24
2021-12-29,16
2021-12-30,19
2021-12-31,18
2022-01-01,15
2022-01-02,8
2022-01-03,10
2022-01-04,17
2022-01-05,12
2022-01-06,25
2022-01-07,15
2022-01-08,29
2022-01-09,16
2022-01-10,8
2022-01-11,29
2022-01-12,18
2022-01-13,22
2022-01-14,21
2022-01-15,23
2022-01-16,26
2022-01-17,14
2022-01-18,44
2022-01-19,50
2022-01-20,89
2022-01-21,92
2022-01-22,79
2022-01-23,69
2022-01-24,60
2022-01-25,213
2022-01-26,238
2022-01-27,255
2022-01-28,318
2022-01-29,363
2022-01-30,359
2022-01-31,276
2022-02-01,759
2022-02-02,563
2022-02-03,1395
2022-02-04,1681
2022-02-05,2155
2022-02-06,2218
2022-02-07,1339
2022-02-08,3610
2022-02-09,4385
2022-02-10,4054
2022-02-11,4506
2022-02-12,5880
2022-02-13,5376
2022-02-14,3885
2022-02-15,7530
2022-02-16,7919
2022-02-17,8977
2022-02-18,8037
2022-02-19,7946
2022-02-20,5766
