date,daily_case
2020-03-16,1
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,0
2020-03-27,1
2020-03-28,0
2020-03-29,0
2020-03-30,2
2020-03-31,5
2020-04-01,6
2020-04-02,0
2020-04-03,0
2020-04-04,5
2020-04-05,1
2020-04-06,3
2020-04-07,1
2020-04-08,4
2020-04-09,3
2020-04-10,3
2020-04-11,0
2020-04-12,1
2020-04-13,16
2020-04-14,5
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,3
2020-04-19,1
2020-04-20,2
2020-04-21,3
2020-04-22,3
2020-04-23,1
2020-04-24,1
2020-04-25,2
2020-04-26,3
2020-04-27,1
2020-04-28,10
2020-04-29,1
2020-04-30,1
2020-05-01,9
2020-05-02,10
2020-05-03,1
2020-05-04,0
2020-05-05,6
2020-05-06,1
2020-05-07,15
2020-05-08,6
2020-05-09,3
2020-05-10,7
2020-05-11,6
2020-05-12,10
2020-05-13,12
2020-05-14,4
2020-05-15,3
2020-05-16,6
2020-05-17,5
2020-05-18,1
2020-05-19,7
2020-05-20,2
2020-05-21,6
2020-05-22,5
2020-05-23,5
2020-05-24,1
2020-05-25,0
2020-05-26,0
2020-05-27,2
2020-05-28,0
2020-05-29,2
2020-05-30,3
2020-05-31,3
2020-06-01,1
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,1
2020-06-06,4
2020-06-07,2
2020-06-08,3
2020-06-09,2
2020-06-10,1
2020-06-11,2
2020-06-12,10
2020-06-13,2
2020-06-14,5
2020-06-15,3
2020-06-16,1
2020-06-17,3
2020-06-18,0
2020-06-19,1
2020-06-20,8
2020-06-21,3
2020-06-22,0
2020-06-23,3
2020-06-24,1
2020-06-25,7
2020-06-26,3
2020-06-27,2
2020-06-28,2
2020-06-29,0
2020-06-30,7
2020-07-01,1
2020-07-02,6
2020-07-03,4
2020-07-04,1
2020-07-05,6
2020-07-06,8
2020-07-07,7
2020-07-08,3
2020-07-09,7
2020-07-10,7
2020-07-11,7
2020-07-12,1
2020-07-13,8
2020-07-14,8
2020-07-15,9
2020-07-16,8
2020-07-17,4
2020-07-18,8
2020-07-19,15
2020-07-20,6
2020-07-21,28
2020-07-22,21
2020-07-23,10
2020-07-24,23
2020-07-25,17
2020-07-26,7
2020-07-27,15
2020-07-28,14
2020-07-29,15
2020-07-30,23
2020-07-31,64
2020-08-01,67
2020-08-02,19
2020-08-03,12
2020-08-04,12
2020-08-05,17
2020-08-06,18
2020-08-07,19
2020-08-08,16
2020-08-09,8
2020-08-10,14
2020-08-11,4
2020-08-12,20
2020-08-13,11
2020-08-14,35
2020-08-15,46
2020-08-16,33
2020-08-17,16
2020-08-18,18
2020-08-19,31
2020-08-20,48
2020-08-21,25
2020-08-22,15
2020-08-23,15
2020-08-24,14
2020-08-25,42
2020-08-26,16
2020-08-27,42
2020-08-28,20
2020-08-29,47
2020-08-30,24
2020-08-31,28
2020-09-01,20
2020-09-02,29
2020-09-03,33
2020-09-04,18
2020-09-05,21
2020-09-06,11
2020-09-07,14
2020-09-08,24
2020-09-09,50
2020-09-10,50
2020-09-11,49
2020-09-12,43
2020-09-13,49
2020-09-14,33
2020-09-15,26
2020-09-16,48
2020-09-17,41
2020-09-18,53
2020-09-19,74
2020-09-20,70
2020-09-21,64
2020-09-22,67
2020-09-23,63
2020-09-24,22
2020-09-25,61
2020-09-26,41
2020-09-27,20
2020-09-28,39
2020-09-29,49
2020-09-30,36
2020-10-01,37
2020-10-02,20
2020-10-03,72
2020-10-04,19
2020-10-05,22
2020-10-06,20
2020-10-07,20
2020-10-08,51
2020-10-09,56
2020-10-10,69
2020-10-11,35
2020-10-12,43
2020-10-13,38
2020-10-14,26
2020-10-15,45
2020-10-16,45
2020-10-17,24
2020-10-18,40
2020-10-19,18
2020-10-20,13
2020-10-21,33
2020-10-22,45
2020-10-23,28
2020-10-24,44
2020-10-25,44
2020-10-26,26
2020-10-27,41
2020-10-28,45
2020-10-29,82
2020-10-30,59
2020-10-31,32
2020-11-01,16
2020-11-02,32
2020-11-03,49
2020-11-04,40
2020-11-05,168
2020-11-06,25
2020-11-07,38
2020-11-08,34
2020-11-09,32
2020-11-10,21
2020-11-11,30
2020-11-12,79
2020-11-13,61
2020-11-14,51
2020-11-15,7
2020-11-16,67
2020-11-17,90
2020-11-18,153
2020-11-19,108
2020-11-20,68
2020-11-21,56
2020-11-22,77
2020-11-23,82
2020-11-24,84
2020-11-25,150
2020-11-26,103
2020-11-27,89
2020-11-28,138
2020-11-29,139
2020-11-30,41
2020-12-01,110
2020-12-02,122
2020-12-03,189
2020-12-04,181
2020-12-05,167
2020-12-06,224
2020-12-07,99
2020-12-08,168
2020-12-09,198
2020-12-10,191
2020-12-11,157
2020-12-12,227
2020-12-13,151
2020-12-14,111
2020-12-15,160
2020-12-16,218
2020-12-17,224
2020-12-18,211
2020-12-19,216
2020-12-20,210
2020-12-21,186
2020-12-22,242
2020-12-23,219
2020-12-24,253
2020-12-25,256
2020-12-26,274
2020-12-27,183
2020-12-28,210
2020-12-29,282
2020-12-30,296
2020-12-31,257
2021-01-01,233
2021-01-02,291
2021-01-03,218
2021-01-04,146
2021-01-05,297
2021-01-06,272
2021-01-07,355
2021-01-08,379
2021-01-09,301
2021-01-10,282
2021-01-11,285
2021-01-12,268
2021-01-13,319
2021-01-14,291
2021-01-15,262
2021-01-16,302
2021-01-17,277
2021-01-18,295
